Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2021,"12        ",Female,16,Right-Handed,160.4,25,155,2,"Rail (Train/Tram/Subway)",5-15,0.581,42,Walking/Hiking,497,583,658,642,128,631,25,"Same length",63,70,"Ring finger",October,Fall,Yes,No,Fruit,Water,Art,7,10,5,"Yes - other","Text messaging",3,5,0,0,3,5,1,1/2,1/3,1/3,3,0,0,2,Some,"Graduate degree",Other,"Freeze time",Healthy,Relative,Environment
USA,NY,2021,"12        ",Female,18,Right-Handed,170.1,24,170.1,1,Car,36,0.451,33,Swimming,1000,999,999,999,100,1000,24,"Same length",70,60,"Index finger",September,Spring,No,No,Desserts,Water,Art,7,9,4,"Yes - other","Text messaging",7,10,40,2,30,1,2,1,7,1,40,30,3,2,"A lot","Graduate degree",Pop,Fly,Happy,Other,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,154,20,150,2,"Rail (Train/Tram/Subway)",90,.307,32,Basketball,1000,1000,1000,1000,1000,1000,20,"Same length",78,63,"Index finger",August,Winter,Yes,No,Seafood,Water,Art,6,12,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,0,50,21,5,0,70,20,20,100,0,12,5,"A lot","Undergraduate degree","Rap/Hip hop",Invisibility,Rich,Actor,Health
USA,NY,2021,"11        ",Female,16,Right-Handed,163,23,168,1,"Rail (Train/Tram/Subway)",60,0.553,44,Swimming,738,594,556,679,647,636,24,"Left foot",71,68,"Index finger",September,Summer,No,No,"Rice/Noodle dishes",Water,History,6,10,4,"Yes - broadband connection","Text messaging",30,55,8,2,25,7,8,1,10,4,15,4,0,1,"A lot","Graduate degree","Rock and roll",Fly,Happy,Relative,"International aid"
USA,NY,2021,"12        ",Female,16,Left-Handed,157.4,29.21,157.4,2,Car,30,0.36,37,Skateboarding/Rollerblading,781,888,492,561,487,556,27.94,"Left foot",76,63.5,"Index finger",March,Fall,Yes,No,"Rice/Noodle dishes",Tea,History,7,8,4,"Yes - other","Text messaging",30,40,3,10,12,3,3,1,4,5,8,1,0,2,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,Relative,"Arts, culture, sports"
USA,NY,2021,"12        ",Female,17,Right-Handed,165,25,160,1,"Rail (Train/Tram/Subway)",90,0.404,35,Swimming,1000,1000,1000,1000,1000,1000,24,"Right foot",70,70,"Same length",April,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,12,5,"Yes - broadband connection","Text messaging",30,30,0,10,5,2,0,0,2,4,30,35,0,3,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,NY,2021,"11        ",Female,16,Right-Handed,,169,165,1,"Rail (Train/Tram/Subway)",55,0.443,41,Soccer,700,500,500,500,300,600,24.1,"Right foot",8.9,7.3,"Ring finger",March,Summer,Yes,No,Seafood,Water,History,7,7,4,"Yes - broadband connection","Text messaging",60,150,7,0,10,5,12,0,15,10,9,9,5,7,"A lot","Graduate degree",Pop,Fly,Happy,"Business person","Arts, culture, sports"
USA,NY,2021,"12        ",Female,16,Right-Handed,156,25,160,2,Car,35,.749,41,Baseball/Softball,900,700,1000,1000,300,200,24,"Right foot",8,7,"Index finger",November,Summer,No,No,Seafood,Juice,History,8,6,,"Yes - other","Text messaging",30,40,15,10,20,10,0,0,25,15,15,0,25,25,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Doctor or nurse",Health
USA,NY,2021,"11        ",Male,16,Right-Handed,23,23,190,1,"Rail (Train/Tram/Subway)",35,.72,20,Soccer,10,7,8,8,8,10,23,"Same length",20,25,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,History,8,9,4,"Yes - broadband connection","Text messaging",100,150,8,3,4,8,9,3,5,4,7,3,3,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"International aid"
USA,NY,2021,"11        ",Female,16,Left-Handed,160,25,157,3,Car,25,0.383,33,Dancing,1000,900,500,500,500,800,25,"Same length",86,86,"Same length",February,Winter,No,No,Soups,Water,Science,8,10,4,"Yes - broadband connection","In person",6,4,4,1,25,5,3,0,2,1,20,8,0,1,Some,Other,Pop,Fly,Healthy,Relative,Environment
USA,NY,2021,"11        ",Female,16,Right-Handed,165,27,64.5,2,"Rail (Train/Tram/Subway)",50,0.292,51,None,400,400,500,300,700,800,27,"Same length",6.7,7.1,"Ring finger",November,Fall,No,No,Desserts,Water,"Mathematics and statistics",7,9,4,"Yes - other","Text messaging",40,40,8,2,15,10,2,0,5,3,50,10,0,5,Some,"High school",Classical,"Freeze time",Healthy,"Doctor or nurse",Health
USA,NY,2021,"12        ",Female,18,Right-Handed,165,23,164,3,"Rail (Train/Tram/Subway)",35,0.363,52,Swimming,695,759,583,829,412,898,23,"Same length",75,75,"Same length",February,Spring,No,No,"Rice/Noodle dishes",Water,Art,,9,5,"Yes - other","Text messaging",25,32,12,5,10,14,5,0,35,8,35,6,0,21,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,"Business person","International aid"
USA,NY,2021,"12        ",Male,17,Right-Handed,5’,Idk,Idk,3,Bus,90min,0.66,49,Baseball/Softball,300,200,400,400,1000,1000,24.13,"Same length",5,6,"Ring finger",April,Spring,Yes,No,"Rice/Noodle dishes",Tea,History,6,6,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",3,4,5,0,1,0,0,6,2,0,6,0,0,0,None,"Graduate degree","Rock and roll","Freeze time",Happy,"Musician or singer","International aid"
USA,NY,2021,"10        ",Female,14,Right-Handed,163,25,163,3,Walk,10,0.42,0.44,Other,888,749,610,610,422,422,25,"Same length",74,80,"Ring finger",June,Fall,No,No,"No favorite",Water,Art,"7hrs ","7hrs ",,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Right-Handed,12-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Right-Handed,162,25,162,2,"Rail (Train/Tram/Subway)",60,.573,51,Other,100,100,85,95,100,100,23,"Right foot",70,70,"Same length",March,Winter,Yes,No,Pizza/Pasta,Water,History,6,8,3,"Yes - other","Text messaging",15,20,5,2,8,3,1,6,30,5,60,2,0,4,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,Health
USA,NY,2021,"11        ",Male,16,Right-Handed,23,23,190,1,"Rail (Train/Tram/Subway)",35,.72,20,Soccer,10,7,8,8,8,10,23,"Same length",20,25,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,History,8,9,4,"Yes - broadband connection","Text messaging",100,150,8,3,4,8,9,3,5,4,7,3,3,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"International aid"
USA,NY,2021,"11        ",Male,16,Right-Handed,178,28,178,2,"Rail (Train/Tram/Subway)",70,.3,38,"Hockey (Ice)",1000,1000,1000,1000,1000,1000,27,"Same length",73,50,"Index finger",August,Fall,No,No,Meat,"Powdered drink","Social studies",7,8,3,"No internet connection","In person",50,80,3,2,2,2,5,4,2,4,2,5,2,4,Some,"Graduate degree",Pop,"Super strength",Healthy,"Coach or club leader","Education/Youth development"
USA,NY,2021,"11        ",Female,16,Right-Handed,156,21.5,68,2.5,"Rail (Train/Tram/Subway)",47,0.469,40,Other,600,545,670,728,100,400,21.5,"Same length",61,73,"Ring finger",April,Spring,No,No,Desserts,,"Physical education",4,12,2,"Yes - other","Text messaging",112,405,58,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Right-Handed,160,20,146,2,"Rail (Train/Tram/Subway)",70,0.315,35,Soccer,786,588,840,850,652,604,20,"Same length",63.5,69.85,"Ring finger",October,Spring,No,No,Pizza/Pasta,Coffee,History,6,8,4,"Yes - other","Internet chat or instant messaging",125,130,0,8,3,8,1,6,15,.5,40,1,0,17,"A lot","Graduate degree",Pop,"Freeze time",Rich,"Doctor or nurse","Education/Youth development"
USA,NY,2021,"10        ",Male,16,Right-Handed,178,16,8,2,Walk,5,0.767,46,Golf,1000,1000,1000,1000,0,0,5,"Same length",9,8.2,"Index finger",November,Summer,Yes,No,Seafood,Milk,Other,8,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",26,50,5h,2h,3h,0,2h,3h,,,,,,,Some,"Graduate degree",Pop,"Freeze time",Happy,Actor,Health
USA,NY,2021,"11        ",Female,16,Right-Handed,149,21,138,3,"Rail (Train/Tram/Subway)",20,0.437,31,Other,1000,625,620,690,580,600,20,"Right foot",66,64,"Index finger",November,Summer,No,No,Seafood,Water,Art,5,10,5,"Yes - other","Text messaging",8,9,12,40,14,7,6,8,40,20,80,18,0,10,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,"Musician or singer","International aid"
USA,NY,2021,"11        ",Female,16,Right-Handed,,,,1,Car,7,,,Walking/Hiking,1000,899,1000,873,903,900,,,,,,May,Fall,Yes,No,Poultry,Water,Art,8,varie,2,"Yes - other","Text messaging",,,,,,,,,,,,,,,"A lot","Graduate degree",Other,"Freeze time",Happy,Actor,Environment
USA,NY,2021,"11        ",Female,17,Right-Handed,"172 ",23.5,174,23.5,"Rail (Train/Tram/Subway)",45,475,39,Dancing,631,1000,503,711,1000,1000,24,"Left foot",7.3,7.5,"Ring finger",March,Winter,No,No,Breads/Sandwiches,Coffee,Science,6,10,4,"Yes - broadband connection","In person",50,50,7,0.5,28," 2",29,0,10,8,50,6,0,8,"A lot","Graduate degree","Punk rock",Telepathy,Rich,Teacher,"International aid"
USA,NY,2021,"11        ",Male,17,Right-Handed,180,25,175,1,"Rail (Train/Tram/Subway)",55,.3,61,Other,70,95,50,60,100,100,25,"Same length",76,79,"Ring finger",August,Winter,No,Yes,Vegetables,Coffee,"Computers and technology",5.5,8,3,"Yes - broadband connection","Internet chat or instant messaging",,,30,0,12,2,2,2,.5,35,60,0,8,0,Some,"Graduate degree",Other,Fly,Rich,Teacher,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,172.7,24,170.9,1,Bus,24,0.689,105,Dancing,1000,600,800,1000,200,1000,24,"Same length",6.5,7,"Index finger",June,Summer,No,Yes,"Rice/Noodle dishes",Water,"Social studies",6,9,3,"Yes - broadband connection","Text messaging",20,23,10,7,25,7,0,0,3,5,20,8,2,5,Some,"Undergraduate degree","Rock and roll",Fly,Happy,Friend,"International aid"
USA,NY,2021,"12        ",Male,18,Right-Handed,183,28,190,2,Walk,15,.322,20,Other,144,289,301,256,980,1000,29,"Left foot",74,78,"Ring finger",September,Summer,No,No,Meat,Water,"Social studies",8,9,4,"Yes - broadband connection","Cell phone",5,10,3,10,10,8,12,15,14,1,5,5,0,1,Some,"Graduate degree","Rock and roll","Freeze time",Rich,Relative,Religious
USA,NY,2021,"11        ",Female,17,Right-Handed,,,,1,Other,45-60,0.354,35,Swimming,1000,1000,1000,999,10,1000,,,,,,December,Fall,No,No,"Rice/Noodle dishes",Water,English,8,4,6,"Yes - broadband connection","Text messaging",20-80,10-80,0,"1 /2",2,4,5,1,22,24/7,3,10,0,45min,Some,"Graduate degree",Reggae,"Freeze time",Healthy,Relative,Other
USA,NY,2021,"11        ",Male,16,Left-Handed,175,27,171,2,"Rail (Train/Tram/Subway)",80,0.22,37,Cycling,900,800,700,700,500,600,27,"Same length",7,8,"Ring finger",March,Fall,No,No,Meat,Water,Music,6,10,4,"Yes - broadband connection","Text messaging",60,60,20,10,18,10,1,2,2,30,50,2,0,10,Some,"Undergraduate degree",Jazz,"Freeze time",Happy,"Musician or singer",Environment
USA,NY,2021,"12        ",Male,17,Right-Handed,182,30,71,1,Car,20,.401,39,Golf,1000,1000,1000,1000,834,1000,29,"Right foot",90,92,"Ring finger",May,Summer,Yes,No,Meat,Water,"Physical education",7,9,6,"Yes - broadband connection","Text messaging",12,12,3,0,7,5,10,0,10,6,6,6,1,1,Some,"Graduate degree",Pop,Fly,Happy,"Sports person",Health
USA,NY,2021,"12        ",Male,18,Right-Handed,5.7,8,"5 fee",4,Bus,"30 m","0.76 ","46 s",Swimming,,,,,,,8,"Same length",1.10,"2 cm","Index finger",February,Spring,No,Yes,Meat,"Energy drink",Music,7,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100+,100+,"10 ho","35 h","3 h",15h,14h,20h,15h,5h,1h,0,15h,"10 h",Some,"Graduate degree",Classical,"Super strength",Happy,"Religious figure",Religious
USA,NY,2021,"12        ",Male,18,Right-Handed,183,29,183,1,Car,20,.333,30,Tennis,85,80,90,84,99,100,29,"Same length",70,70,"Same length",September,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,10,6,"Yes - other","Text messaging",20,25,10,20,6,1,9,0,20,4,5,5,10,10,"Very little","Graduate degree",Country,Telepathy,Rich,"Business person","Education/Youth development"
USA,NY,2021,"11        ",Female,17,Right-Handed,158,24,168,3,"Rail (Train/Tram/Subway)",60,,,Athletics,5,6,4,3,2,1,160,"Same length",,680,"Same length",January,Fall,No,,"Rice/Noodle dishes",Water,Science,7,9,6,"Yes - other","In person",50,60,6,6,10,6,3,0,3,10,10,1,1,8,"A lot","High school","Rap/Hip hop",Telepathy,Rich,Relative,"Education/Youth development"
USA,NY,2021,"12        ",Female,18,Right-Handed,173,26,172,2,Car,50,.671,36,Baseball/Softball,900,750,800,750,500,750,26,"Right foot",113,72,"Index finger",January,Fall,Yes,No,"Rice/Noodle dishes",Water,Other,8,10,4,"Yes - broadband connection","Text messaging",30,35,10,3,15,20,22,1,11,10,30,14,8,15,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,"Coach or club leader",Health
USA,NY,2021,"12        ",Male,16,Right-Handed,189,31-32,,3,Walk,"5 min",1.066,61,Soccer,1000,1000,1000,1000,400,1000,31-32,"Same length",30,50,"Same length",November,Summer,Yes,No,Meat,Water,History,8,8,5,"Yes - dial-up connection",Telephone,5,4,0,0,10,6,0,10,5,0,10,0,0,0,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,"Sports person",Health
USA,NY,2021,"11        ",Male,17,Right-Handed,178,24,177,3,"Rail (Train/Tram/Subway)",25,0.277,44,Soccer,700,700,900,900,900,1000,25,"Left foot",100,90,"Index finger",August,Fall,No,No,Meat,Water,"Physical education",6,8,4,"Yes - other","Text messaging",100,100,15,3,10,5,40,10,35,30,35,5,10,1,"A lot",Other,"Rhythm and blues (R&B)","Freeze time",Happy,"Sports person",Health
USA,NY,2021,"12        ",Male,17,Right-Handed,172.7,26.5,177.5,1,Car,12,.398,42,"Football (American)",600,600,500,1000,1000,1000,27,"Left foot",90,95,"Ring finger",January,Summer,Yes,No,Seafood,Juice,"Mathematics and statistics",7,5,3,"Yes - other","Text messaging",100,100,10,3,20,7,0,0,10,10,100,20,20,0,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Actor,"Education/Youth development"
USA,NY,2021,"11        ",Female,16,Right-Handed,163,24,30,1,"Rail (Train/Tram/Subway)",105,0.282,29,Running/Jogging,1000,775,840,754,904,1000,24,"Same length",89,76,"Index finger",May,Fall,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Text messaging",50,100,5,1,8,1,1,5,9,6,9,15,3,4,"A lot","Undergraduate degree",Pop,"Freeze time",Rich,Friend,Environment
USA,NY,2021,"12        ",Female,18,Right-Handed,175,27.5,63,2,Car,26,.33,34,Athletics,936,856,701,759,1000,893,27.2,"Right foot",78,83,"Ring finger",February,Fall,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",9,8,4,"Yes - broadband connection","Text messaging",60,170,,,5,5,5,5,5,5,5,5,,,Some,"Undergraduate degree",Other,Fly,Happy,"Sports person","International aid"
USA,NY,2021,"11        ",Female,17,Right-Handed,165,24,29,2,"Rail (Train/Tram/Subway)",30,0.435,41,Walking/Hiking,200,800,200,800,1000,1000,24,"Left foot",3,2,"Index finger",August,Summer,No,No,"Rice/Noodle dishes",Water,English,6,9,3,"Yes - broadband connection","In person",60,60,6,2,6,6,2,1,8,8,8,0,0,0,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,Health
USA,NY,2021,"12        ",Male,16,Right-Handed,173,26,170,1,"Rail (Train/Tram/Subway)",20,0.375,52,Basketball,950,900,800,850,1000,970,25,"Right foot",6mm,6mm,"Ring finger",December,Fall,No,No,Poultry,Water,Science,7,9,4,"Yes - broadband connection","In person",20,20,25,5,25,15,20,20,15,10,40,10,0,3,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2021,"12        ",Female,16,Right-Handed,171,25,172,1,Bus,35,,43,Soccer,800,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"11        ",Female,17,Right-Handed,166,24,163.5,2,"Rail (Train/Tram/Subway)",35,0.273,34,None,800,700,600,500,300,300,124,"Same length",70,73,"Same length",June,Spring,Yes,No,Pizza/Pasta,Water,Science,7,14,4,"Yes - broadband connection","In person",70,250,10,0,20,35,0,0,15,7,100,0.5,0,14,"A lot",Other,Pop,Invisibility,Rich,"Musician or singer",Health
USA,NY,2021,"11        ",Female,16,Right-Handed,160,23,158,1,"Rail (Train/Tram/Subway)",70,.46,34,Soccer,900,500,500,700,300,800,24,"Left foot",79,75,"Index finger",May,Fall,No,No,Fruit,Coffee,English,6,10,2,"Yes - broadband connection","Text messaging",100,100,20,4,50,5,14,1,4,10,4,3,1,4,"A lot","Graduate degree","Rock and roll",Fly,Rich,"Business person","International aid"
USA,NY,2021,"12        ",Female,18,Right-Handed,162.6,24.6,165.1,1,Car,25,.318,27,None,1000,700,1000,600,700,900,24.6,"Same length",160,155,"Ring finger",December,Spring,No,No,"Rice/Noodle dishes",Water,History,3.5,7,2,"Yes - broadband connection","In person",17,12,3,0,10,2,2,0,6,2,65,10,0,0,"A lot","Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Relative,Environment
USA,NY,2021,"11        ",Female,16,Right-Handed,170.6,,,2,"Rail (Train/Tram/Subway)",30-45,2.257,61,Walking/Hiking,1000,500,900,50,0,10,,"Same length",,,"Same length",May,Spring,Yes,No,Seafood,Water,English,7-8,8-9,6,"Yes - other","In person",7,30+,24hrs,24hrs,1hr,,,,,24hrs,,,,,"Very little","High school","Rap/Hip hop",Invisibility,Rich,Other,Health
USA,NY,2021,"12        ",Female,17,Ambidextrous,154,23,152,2,Car,20,0.33,36,Basketball,380,150,230,310,460,460,23,"Same length",91,96,"Ring finger",July,Spring,Yes,Yes,"Rice/Noodle dishes",Water,Science,5,8,4,"Yes - broadband connection","In person",20,30,4,1,25,1,5,5,3,10,25,0,20,1,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,Health
USA,NY,2021,"12        ",Female,16,Right-Handed,171,10.50,174.5,2,Car,25,.402,39,Soccer,100,100,100,100,500,500,10,"Right foot",90,85,"Index finger",June,Fall,,No,Fruit,"Soft drink (caffeinated)","Mathematics and statistics",5,11,4,"Yes - other","Text messaging",100,102,36,42,14,6,21,0,14,14,168,36,0,6,"A lot","Graduate degree",Country,"Freeze time",Happy,Friend,"Arts, culture, sports"
USA,NY,2021,"12        ",Male,17,Right-Handed,165,24.5,166,3,Walk,10,.255,33,Soccer,700,750,500,700,800,900,25.1,"Left foot",75.2,74.3,"Index finger",May,Winter,Yes,No,Pizza/Pasta,Water,Science,7,3,4,"Yes - broadband connection","Text messaging",100,50,4,2,6,2,4,20,30,30,50,2,0,0,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,"Sports person","Education/Youth development"
USA,NY,2021,"11        ",Male,16,Left-Handed,175,27,171,2,"Rail (Train/Tram/Subway)",80,0.22,37,Cycling,900,800,700,700,500,600,27,"Same length",7,8,"Ring finger",March,Fall,No,No,Meat,Water,Music,6,10,4,"Yes - broadband connection","Text messaging",60,60,20,,,,,,,,,,,,,,,,,,
USA,NY,2021,"11        ",Female,16,Right-Handed,167,24,81,3,"Rail (Train/Tram/Subway)",45,0.419,37,"Martial Arts",813,941,941,856,599,690,24,"Same length",70,73,"Index finger",July,Winter,No,No,"Rice/Noodle dishes",Water,Languages,5,7,5,"Yes - broadband connection","Internet chat or instant messaging",6,8,2,0.25,"15 ",2,1.5,0,"14 ",3,3,0,0,4,"A lot","Undergraduate degree",Other,"Super strength",Rich,"Doctor or nurse","Education/Youth development"
USA,NY,2021,"12        ",Female,18,Right-Handed,173,26,172,2,Car,50,.671,36,Baseball/Softball,900,750,800,750,500,750,26,"Right foot",113,72,"Index finger",January,Fall,Yes,No,"Rice/Noodle dishes",Water,Other,8,10,4,"Yes - broadband connection","Text messaging",30,35,10,3,15,20,22,1,11,10,30,14,8,15,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,"Coach or club leader",Health
USA,NY,2021,"12        ",Female,17,Right-Handed,158,24,149,2,"Rail (Train/Tram/Subway)",45,.404,33,Other,900,800,600,650,800,850,23.5,"Right foot",7,7,"Same length",March,Fall,Yes,No,"Rice/Noodle dishes",Water,Art,5,7-12,2-3,"Yes - broadband connection","Text messaging",132,104,4,2,7,1,1,4,14,4,6,2,6,2,"A lot","Graduate degree",Pop,Invisibility,Rich,Relative,"Education/Youth development"
USA,NY,2021,"12        ",Male,17,Right-Handed,170.2,26,171,2,Car,17,.32,37,Athletics,765,364,455,572,615,742,26.5,"Left foot",88.9,89.3,"Ring finger",August,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",6,9,4,"Yes - broadband connection","Text messaging",30,30,5,0,12,4,4,4,5,6,15,0,2,6,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2021,"12        ",Male,17,Right-Handed,190.5,30,188,1,"Rail (Train/Tram/Subway)",50,0.725,66,Walking/Hiking,1000,1000,1000,1000,1000,1000,27,"Right foot",85,85,"Same length",February,Fall,No,No,Seafood,Water,English,7,10,3,"Yes - broadband connection","Internet chat or instant messaging",20,20,5,4,10,5,2,7,5,4,6,2,0,2,"A lot","Graduate degree","Rock and roll",Fly,Rich,Relative,"Wildlife, animals"
USA,NY,2021,"11        ",Female,16,Right-Handed,166,24,161,1,"Rail (Train/Tram/Subway)",50,0.396,33,Skateboarding/Rollerblading,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,18,Right-Handed,159,,,2,Car,28,.365,35,Walking/Hiking,930,824,797,856,481,594,,"Right foot",,,"Index finger",February,Winter,Yes,No,Pizza/Pasta,Water,Science,8,10,5,"Yes - other","Text messaging",6,13,4,1,8,4,3,0,8,1,9,6,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2021,"12        ",Female,17,Right-Handed,70,24,72,1,Car,30,.437,30,"Hockey (Field)",765,604,594,1000,492,495,23.5,"Right foot",75,79,"Ring finger",June,Spring,No,No,Desserts,Water,History,6,7,3,"Yes - broadband connection","Text messaging",30,50,8,5,10,1,0,0,3,2,30,4,0,4,"A lot","Graduate degree",Classical,Telepathy,Happy,Teacher,"International aid"
USA,NY,2021,"11        ",Male,19,Right-Handed,,,,1,"Rail (Train/Tram/Subway)",35min,.352,43,None,87,100,64,81,59,100,,"Same length",,,"Ring finger",July,Spring,No,No,"No favorite",Water,"Computers and technology",3,,3,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,"A lot","Graduate degree",Other,"Freeze time",Rich,Other,Environment
USA,NY,2021,"12        ",Female,16,Right-Handed,163,23,156,2,"Rail (Train/Tram/Subway)",40,0.532,32,Other,1000,1000,1000,1000,1000,1000,23,"Same length",,,"Same length",November,Spring,No,No,Seafood,Water,English,6,12,4,"Yes - other","Text messaging",15,10,8,0,8,7,12,5,24,5,80,0,4,1,Some,"Graduate degree",Other,Telepathy,Rich,Relative,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,60,22,93,2,Bus,20,0.403,50,Running/Jogging,700,700,900,900,500,1000,22,"Same length",800,700,"Index finger",October,Fall,No,No,Fruit,Water,"Mathematics and statistics",7,8,5,"Yes - broadband connection","Text messaging",20,15,0.5,0,0.5,3,0,6,2,0,8,0,0,1,Some,"Undergraduate degree",Other,Fly,Happy,Teacher,"Wildlife, animals"
USA,NY,2021,"10        ",Female,15,Right-Handed,"174 ",24,170,2,Car,20,0.11,118,Swimming,100,60,70,50,60,60,24.5,"Left foot",,,,August,Summer,No,No,Pizza/Pasta,Water,History,8,10,5,"Yes - broadband connection","In person",?,?,9,3,9,4,2,0,4,4,6,4,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,NY,2021,"11        ",Female,17,Right-Handed,172,26,174,2,"Rail (Train/Tram/Subway)",40,0.336,38,Gymnastics,829,738,658,583,578,834,25,"Right foot",6.5,6.5,"Same length",February,Fall,No,Yes,Pizza/Pasta,Water,Art,7,4,3,"Yes - broadband connection","Text messaging",26,22,32,5,25,12,2,1,5,3,15,11,16,0,"A lot","Graduate degree","Rock and roll",Invisibility,Happy,Friend,Health
USA,NY,2021,"11        ",Female,15,Right-Handed,170,24,170,2,"Rail (Train/Tram/Subway)",45,0.37,30,Cycling,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,18,Right-Handed,5’3”,16.51,,"2 ",Car,"20 ",0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"11        ",Male,16,Right-Handed,178,76,180,2,"Rail (Train/Tram/Subway)",120,2.98,48,"Football (American)",1000,800,900,800,650,800,80,"Left foot",38,42,"Ring finger",April,Spring,Yes,No,Poultry,Water,History,5,8,5,"Yes - broadband connection","Cell phone",120,100+,,,,,,,,,,,,,Some,"Graduate degree",Jazz,"Super strength",Rich,"Community leader or elder","International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,160,21.59,160,3,Bus,45,.379,35,Tennis,1000,925,973,882,502,1000,22,"Left foot",58,58.2,"Ring finger",September,Summer,No,No,Pizza/Pasta,Water,English,7,10,5,"Yes - broadband connection","Text messaging",7,10,4,1,8,10,6,2,2,1,15,10,0,2,"A lot","High school",Pop,Invisibility,Healthy,Relative,"International aid"
