Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2021,"12        ",Female,17,Left-Handed," 165",23,163,1,"Rail (Train/Tram/Subway)",40,0.676,38,Baseball/Softball,600,500,500,600,700,800,23.2,"Left foot",65,61,"Index finger",March,Fall,Yes,No,Pizza/Pasta,Juice,English,6.5,8,5,"Yes - broadband connection","Text messaging",40,40,5,0,5,2,6,0,8,2,12,6,1,0,Some,"Graduate degree",Country,Telepathy,Rich,"Business person","International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,5'3,,,2,Car,"45 ",0.359,41,None,800,500,100,200,50,1000,,,,,"Ring finger",May,Summer,No,No,Meat,Water,History,6,9,4,"Yes - broadband connection","Text messaging",30,50,5,10,7,10,2,5,11,12,20,1,4,24,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,"International aid"
USA,NY,2021,"11        ",Female,16,Right-Handed,165,27,170,2,"Rail (Train/Tram/Subway)",40,0.426,33,Other,900,800,1000,700,800,9002,26,"Right foot",74,74,"Same length",January,Winter,No,No,Pizza/Pasta,Water,Science,6,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,2,9,1,15,11,3,1,15,.5,10,2,0,5,Some,"Graduate degree",Pop,Fly,Rich,Relative,"International aid"
USA,NY,2021,"12        ",Male,18,Right-Handed,"5'5""",21.3,171.7,1,Bus,40,0.665,55,Swimming,497,620,358,390,1000,1000,22.5,"Left foot",80,65,"Index finger",June,Winter,Yes,No,"No favorite",Water,"Computers and technology",1,5,4,"Yes - other","Text messaging",500,70000,30,1,15,3,0,50+,5,3,1000,0,40,40,"Very little","Graduate degree",Other,"Freeze time",Rich,Other,"International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,178,26,188,1,"Rail (Train/Tram/Subway)",20,.429,30,Walking/Hiking,800,400,500,500,800,500,25,"Right foot",8,8,"Same length",September,Summer,Yes,No,Desserts,Water,Art,8,12,3,"Yes - broadband connection","Text messaging",100,100,66,12,4,2,0,0,30,40,20,40,5,5,"Very little","Graduate degree",Other,Telepathy,Happy,Other,Other
USA,NY,2021,"11        ",Male,18,Right-Handed,174,26,177,1,Car,5,0.331,36,Walking/Hiking,500,500,732,696,834,753,24,"Right foot",76,79,"Ring finger",March,Fall,No,No,"No favorite",Water,Music,4,7,4,"Yes - broadband connection","Internet chat or instant messaging",5,10,9,10,5,8,1,17,5,1,30,0,0,0,Some,"Graduate degree",Other,"Freeze time",Healthy,Other,"Wildlife, animals"
USA,NY,2021,"11        ",Female,19,Right-Handed,157.4,"24 cm",157.4,2,"Rail (Train/Tram/Subway)",45,0.468,38,Baseball/Softball,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Male,17,Right-Handed,184.2,27.52,,2,Car,15,.461,39,Soccer,1000,1000,877,824,636,963,27.52,"Same length",,,"Ring finger",November,Spring,Yes,No,Pizza/Pasta,Water,Languages,7,8.5,4,"Yes - broadband connection","Text messaging",20,25,4,1,5,10,8,.25,28,2,30,3,0,1.5,Some,"Graduate degree",Other,Fly,Happy,Politician,"Education/Youth development"
USA,NY,2021,"11        ",Male,20,Right-Handed,157.5,25.4,\,1,"Rail (Train/Tram/Subway)",90,1.456,99,Skateboarding/Rollerblading,1000,1000,1000,1000,802,1000,,,,,"Ring finger",October,Summer,Yes,Yes,Pizza/Pasta,Tea,Art,6-7,8-9,2,"Yes - other",,0,0,0,0,6,20,4,4,0,0,40,10,0,3,Some,Other,"Rap/Hip hop","Super strength",Healthy,Teacher,Environment
USA,NY,2021,"11        ",Female,15,Right-Handed,163,22,160,2,"Rail (Train/Tram/Subway)",30,0.335,39,Other,1000,1000,1000,1000,535,620,23,"Left foot",,28,"Index finger",October,Fall,No,No,Poultry,Tea,English,6,10,3,"Yes - broadband connection","In person",4,100,5,0,10,14,8,0,12,2,20,0,0,0,Some,"Graduate degree",Pop,Fly,Happy,Actor,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,163,26,163,2,Car,15,0.396,38,Other,1000,1000,900,700,600,650,26,"Left foot",63.5,63.5,"Same length",May,Fall,Yes,No,Desserts,Water,"Social studies",6,12,3,"Yes - broadband connection","Text messaging",5,6,0,3,18,12,4,6,3,2,30,8,0,0,"A lot",Other,Other,Fly,Happy,Relative,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,150,21,156,2,Car,16,.448,34,"Hockey (Field)",925,717,32,0,16,642,22,"Left foot",80,88,"Ring finger",August,Fall,Yes,No,"Rice/Noodle dishes",Water,History,7,11,4,"Yes - other","In person",30,40,8,0,14,8,18,0,14,15,30,3,8,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2021,"11        ",Male,17,Right-Handed,173,24.77,172.7,1,"Rail (Train/Tram/Subway)",50,.297,25,"Hockey (Field)",1000,583,412,840,556,925,24.77,"Same length",76.2,82.55,"Ring finger",July,Summer,Yes,No,Fruit,Water,History,6,6,4,"Yes - broadband connection","Text messaging",100,200,20,9,40,14,4,4,10,10,40,5,0,0,"A lot","Graduate degree",Pop,Fly,Happy,Actor,Environment
USA,NY,2021,"12        ",Male,17,Right-Handed,167,25.1,177.5,3,"Rail (Train/Tram/Subway)","45 ",.399,40,"Football (American)",1000,1000,300,600,700,1000,25.1,"Same length",8.75,8.5,"Index finger",March,Spring,Yes,No,Meat,Water,"Physical education",5,9,6,"Yes - other","Cell phone",22,11,4,1,3,8,10,6,9,3,20,3,25,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Religious
USA,NY,2021,"11        ",Female,16,Right-Handed,156,21.5,68,2.5,"Rail (Train/Tram/Subway)",47,0.469,40,Other,600,545,670,728,100,400,21.5,"Same length",61,73,"Ring finger",April,Spring,No,No,Desserts,,"Physical education",4,12,2,"Yes - other","Text messaging",112,405,58,2,50,23,61,1,39,49,50,10,0,5,"A lot","Less than high school","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2021,"12        ",Male,17,Right-Handed,"1,70 ",24,"1,73",2,"Rail (Train/Tram/Subway)",27,0.411,53,Cycling,800,400,500,300,800,1000,24,"Same length",9,10,"Ring finger",July,Fall,Yes,No,Meat,Juice,History,7,10,2,"Yes - broadband connection","Internet chat or instant messaging",8,180,35,2,13,15,2,16,6,8,40,2,0,4,Some,"Graduate degree",Classical,"Freeze time",Happy,Politician,Environment
USA,NY,2021,"12        ",Male,17,Right-Handed,188,,,1,"Rail (Train/Tram/Subway)",30,.354,31,"Table Tennis",80,50,60,100,10,100,,,,,"Ring finger",April,Fall,Yes,No,Meat,Water,"Computers and technology",8,7,5,"Yes - broadband connection","Text messaging",27,43,5,0,5,8,1,27,3,8,20,0,40,7,None,"Graduate degree",Other,"Freeze time",Rich,Other,"Education/Youth development"
USA,NY,2021,"12        ",Female,17,Right-Handed,152cm,20,152,2,Walk,35,0.417,46,Soccer,556,332,845,332,160,995,21,"Left foot",66,66,"Same length",September,Fall,Yes,No,Meat,Water,"Mathematics and statistics",6,8,4,"Yes - other","In person",40,40,4,2,1,8,2,0,12,12,12,1,5,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,NY,2021,"12        ",Female,17,Right-Handed,174,26,174,3,Car,45,0.369,32,"Hockey (Field)",905,722,914,770,660,765,25.5,"Right foot",13,14,"Ring finger",March,Fall,No,No,"Rice/Noodle dishes",Water,Science,6,9,2,"Yes - broadband connection","Text messaging",13,36,,,,,,,,,,,,,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,,Relative,Environment
USA,NY,2021,"11        ",Female,16,Right-Handed,155,25,145,2,Bus,30,0.435,35,None,802,722,535,535,481,615,27,"Left foot",70,70,"Same length",September,Fall,No,No,"No favorite",Other,"Mathematics and statistics",4,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,50,30,28,35,14,0,6,35,7,40,3,0,7,"A lot",Other,Pop,Invisibility,Rich,Relative,"International aid"
USA,NY,2021,"12        ",Female,17,Right-Handed,160,24,153,2,Bus,7,0.774,62,Dancing,860,650,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,16,Left-Handed,157.4,29.21,157.4,2,Car,30,0.36,37,Skateboarding/Rollerblading,781,888,492,561,487,556,27.94,"Left foot",76,63.5,"Index finger",March,Fall,Yes,No,"Rice/Noodle dishes",Tea,History,7,8,4,"Yes - other","Text messaging",30,40,3,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Right-Handed,178,27,178,2,Bus,60,0.344,50,Skateboarding/Rollerblading,500,500,500,500,500,700,27,"Same length",70,70,"Index finger",May,Fall,No,Yes,Soups,Coffee,History,7,10,3,"Yes - broadband connection","Internet chat or instant messaging",10,10,0,0,15,5,3,0,20,10,20,0,0,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Friend,"Education/Youth development"
